name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs
trend,EMA trend continuation,single,3.33632,22,36.36364,1.21686,0.01444,13.08047
momentum,Momentum confirmation,single,-2.91747,14,42.85714,0.83300,0.01555,8.27376
mean_reversion,Intraday mean reversion,single,-9.56616,9,33.33333,0.18582,0.01243,5.33660
volatility_breakout,Generic volatility breakout,single,5.73921,8,50.00000,2.45994,0.00334,4.76455
opening_range_breakout,Opening range breakout,single,5.87299,5,60.00000,2.59496,0.00548,2.95626
xauusd_volatility_breakout,XAUUSD-tuned volatility breakout,single,6.44500,8,50.00000,2.99824,0.00264,4.76462
xauusd_volatility_breakout__plus__opening_range_breakout,Combined xauusd_volatility_breakout + opening_range_breakout,combined,8.14102,9,55.55556,2.92883,0.00317,5.35297
xauusd_volatility_breakout__plus__volatility_breakout,Combined xauusd_volatility_breakout + volatility_breakout,combined,5.08384,9,44.44444,2.10844,0.00334,5.35271
opening_range_breakout__plus__volatility_breakout,Combined opening_range_breakout + volatility_breakout,combined,8.14502,9,55.55556,2.93161,0.00334,5.35298
