timestamp,hour,agent_name,confidence,consensus_accepted,forward_return_3_pct,forward_return_6_pct,forward_return_12_pct,metadata
2025-04-14T14:00:00+00:00,14,opening_range_breakout,0.57875,True,0.15580,0.36354,0.36354,"{'range_high': 19235.0, 'breakout_high': 19235.0}"
2025-04-14T14:40:00+00:00,14,opening_range_breakout,1.00000,True,0.18116,0.10041,-0.72464,"{'range_high': 19235.0, 'breakout_high': 19235.0}"
2025-05-05T14:40:00+00:00,14,opening_range_breakout,0.55537,True,0.16321,-0.04663,-0.18652,"{'range_high': 21425.0, 'breakout_high': 21425.0}"
2025-05-21T14:00:00+00:00,14,opening_range_breakout,0.54964,False,0.04522,-0.10174,-0.04522,"{'range_high': 22094.95, 'breakout_high': 22094.95}"
2025-06-04T14:40:00+00:00,14,opening_range_breakout,1.00000,True,-0.04577,0.03349,-0.08931,"{'range_high': 22325.0, 'breakout_high': 22325.0}"
2025-06-12T14:40:00+00:00,14,opening_range_breakout,0.72506,True,0.02015,-0.13660,-0.52848,"{'range_high': 22290.0, 'breakout_high': 22290.0}"
2025-08-14T14:40:00+00:00,14,opening_range_breakout,0.73981,True,0.03316,-0.04422,-0.02830,"{'range_high': 22575.0, 'breakout_high': 22575.0}"
2025-08-22T14:00:00+00:00,14,opening_range_breakout,1.00000,True,0.15425,0.08814,0.17629,"{'range_high': 22500.0, 'breakout_high': 22500.0}"
2025-08-22T14:15:00+00:00,14,opening_range_breakout,1.00000,True,-0.06601,0.08933,-0.11001,"{'range_high': 22500.0, 'breakout_high': 22500.0}"
2025-08-22T14:40:00+00:00,14,opening_range_breakout,1.00000,True,0.24014,0.21810,0.09694,"{'range_high': 22500.0, 'breakout_high': 22500.0}"
2025-09-18T14:15:00+00:00,14,opening_range_breakout,0.91039,True,0.05054,-0.12997,0.06183,"{'range_high': 22102.5, 'breakout_high': 22102.5}"
2025-09-29T14:40:00+00:00,14,opening_range_breakout,0.77179,True,-0.13868,-0.34782,-0.25574,"{'range_high': 22167.5, 'breakout_high': 22167.5}"
2025-09-30T14:40:00+00:00,14,opening_range_breakout,0.59741,True,0.11233,0.09211,0.37070,"{'range_high': 22230.0, 'breakout_high': 22230.0}"
2026-03-23T14:15:00+00:00,14,opening_range_breakout,1.00000,True,-0.35469,0.56751,-0.23835,"{'range_high': 21080.0, 'breakout_high': 21080.0}"
